0926 18:32:20285 :: pack/metin2_patch_nodelar.eix: Error Code 9
0926 18:32:20285 :: pack/metin2_patch_nodelar.epk: Error Code 9
0926 18:32:00837 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/effect/stola/ridack_effect5.mse) Error
0926 18:32:00837 :: CInstanceBase::RegisterEffect(eEftType=322, c_szEftAttachBone=Bip01, c_szEftName=d:/ymir work/effect/stola/ridack_effect5.mse, isCache=0) - Error
0926 18:32:00838 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/asek_alune/set_9/wing/wing.mse) Error
0926 18:32:00838 :: CInstanceBase::RegisterEffect(eEftType=325, c_szEftAttachBone=Bip01 Spine2, c_szEftName=d:/ymir work/asek_alune/set_9/wing/wing.mse, isCache=0) - Error
0926 18:32:00855 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_4_target.mse) Error
0926 18:32:00855 :: CInstanceBase::RegisterEffect(eEftType=72, c_szEftAttachBone=, c_szEftName=d:/ymir work/pc/shaman/effect/chunwoon_4_target.mse, isCache=0) - Error
0926 18:32:00855 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_moojuk.mse) Error
0926 18:32:00855 :: CInstanceBase::RegisterEffect(eEftType=73, c_szEftAttachBone=Bip01, c_szEftName=d:/ymir work/pc/shaman/effect/chunwoon_moojuk.mse, isCache=0) - Error
0926 18:32:01563 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish.msa) ERROR
0926 18:32:01563 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish.msa) ERROR
0926 18:32:01563 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_2.msa) ERROR
0926 18:32:01563 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_2.msa) ERROR
0926 18:32:01563 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_3.msa) ERROR
0926 18:32:01563 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_3.msa) ERROR
0926 18:32:01563 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_4.msa) ERROR
0926 18:32:01563 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_4.msa) ERROR
0926 18:32:01968 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/assassin/bow/attack_special.msa) ERROR
0926 18:32:02651 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi.msa) ERROR
0926 18:32:02651 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_dark.msa) ERROR
0926 18:32:02651 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_2.msa) ERROR
0926 18:32:02651 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_dark_2.msa) ERROR
0926 18:32:02651 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_3.msa) ERROR
0926 18:32:02651 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_dark_3.msa) ERROR
0926 18:32:02651 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_4.msa) ERROR
0926 18:32:02651 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_dark_4.msa) ERROR
