0928 22:09:33086 :: pack/metin2_patch_nodelar.eix: Error Code 9
0928 22:09:33087 :: pack/metin2_patch_nodelar.epk: Error Code 9
0928 22:09:00747 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/effect/stola/ridack_effect5.mse) Error
0928 22:09:00747 :: CInstanceBase::RegisterEffect(eEftType=322, c_szEftAttachBone=Bip01, c_szEftName=d:/ymir work/effect/stola/ridack_effect5.mse, isCache=0) - Error
0928 22:09:00748 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/asek_alune/set_9/wing/wing.mse) Error
0928 22:09:00748 :: CInstanceBase::RegisterEffect(eEftType=325, c_szEftAttachBone=Bip01 Spine2, c_szEftName=d:/ymir work/asek_alune/set_9/wing/wing.mse, isCache=0) - Error
0928 22:09:00771 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_4_target.mse) Error
0928 22:09:00771 :: CInstanceBase::RegisterEffect(eEftType=72, c_szEftAttachBone=, c_szEftName=d:/ymir work/pc/shaman/effect/chunwoon_4_target.mse, isCache=0) - Error
0928 22:09:00771 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_moojuk.mse) Error
0928 22:09:00771 :: CInstanceBase::RegisterEffect(eEftType=73, c_szEftAttachBone=Bip01, c_szEftName=d:/ymir work/pc/shaman/effect/chunwoon_moojuk.mse, isCache=0) - Error
0928 22:09:01526 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish.msa) ERROR
0928 22:09:01526 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish.msa) ERROR
0928 22:09:01526 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_2.msa) ERROR
0928 22:09:01526 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_2.msa) ERROR
0928 22:09:01526 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_3.msa) ERROR
0928 22:09:01526 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_3.msa) ERROR
0928 22:09:01526 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_4.msa) ERROR
0928 22:09:01526 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/warrior/skill/finish_4.msa) ERROR
0928 22:09:01954 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/assassin/bow/attack_special.msa) ERROR
0928 22:09:02681 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi.msa) ERROR
0928 22:09:02681 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_dark.msa) ERROR
0928 22:09:02681 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_2.msa) ERROR
0928 22:09:02681 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_dark_2.msa) ERROR
0928 22:09:02681 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_3.msa) ERROR
0928 22:09:02681 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_dark_3.msa) ERROR
0928 22:09:02681 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_4.msa) ERROR
0928 22:09:02681 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/sura/skill/akgi_dark_4.msa) ERROR
0928 22:09:03225 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/shaman/skill/meteo.msa) ERROR
0928 22:09:03226 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/shaman/skill/chunwoon.msa) ERROR
0928 22:09:03226 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/shaman/skill/meteo_2.msa) ERROR
0928 22:09:03226 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/shaman/skill/chunwoon_2.msa) ERROR
0928 22:09:03226 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/shaman/skill/meteo_3.msa) ERROR
0928 22:09:03226 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/shaman/skill/chunwoon_3.msa) ERROR
0928 22:09:03226 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/shaman/skill/meteo_4.msa) ERROR
0928 22:09:03226 :: CRaceData::RegisterMotionData - LoadMotionData(c_szFileName=d:/ymir work/pc/shaman/skill/chunwoon_4.msa) ERROR
0928 22:09:03375 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_1.mse) Error
0928 22:09:03376 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_1_blow.mse) Error
0928 22:09:03378 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_1.mse) Error
0928 22:09:03378 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_1_blow.mse) Error
0928 22:09:03378 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_2.mse) Error
0928 22:09:03378 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_2_blow.mse) Error
0928 22:09:03378 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_2.mse) Error
0928 22:09:03379 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_2_blow.mse) Error
0928 22:09:03379 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_3.mse) Error
0928 22:09:03379 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_3_blow.mse) Error
0928 22:09:03379 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_3.mse) Error
0928 22:09:03379 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_3_blow.mse) Error
0928 22:09:03380 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_4.mse) Error
0928 22:09:03380 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_4_blow.mse) Error
0928 22:09:03380 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_4.mse) Error
0928 22:09:03380 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_4_blow.mse) Error
0928 22:09:03697 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_1_blow.mse) Error
0928 22:09:03697 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_1_making.mse) Error
0928 22:09:03701 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_dark_1_making.mse) Error
0928 22:09:03701 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_dark_1_fear.mse) Error
0928 22:09:03704 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_2_blow.mse) Error
