8061	1.3	1.3	1.3
1093	1.5	1.5	1.5
1092	1.3	1.3	1.3
2598	1.2	1.2	1.2
1191	1.5	1.5	1.5
2493	1.3	1.3	1.3
2591	1.5	1.5	1.5
8001	1.5	1.5	1.5
8002	1.5	1.5	1.5
8003	1.5	1.5	1.5
8004	1.5	1.5	1.5
8005	1.5	1.5	1.5
8006	1.5	1.5	1.5
8007	1.5	1.5	1.5
8008	1.5	1.5	1.5
8009	1.5	1.5	1.5
8010	1.5	1.5	1.5
8011	1.5	1.5	1.5
8012	1.5	1.5	1.5
8013	1.5	1.5	1.5
8014	1.5	1.5	1.5
8015	1.5	1.5	1.5
8016	1.5	1.5	1.5
8017	1.5	1.5	1.5
8018	1.5	1.5	1.5
8019	1.5	1.5	1.5
8024	1.5	1.5	1.5
8025	1.5	1.5	1.5
8026	1.5	1.5	1.5
8027	1.5	1.5	1.5
8028	1.5	1.5	1.5
8051	1.4	1.4	1.4
8052	1.4	1.4	1.4
8053	1.4	1.4	1.4
8054	1.4	1.4	1.4
8055	1.4	1.4	1.4
8056	1.4	1.4	1.4
8057	1.4	1.4	1.4
8059	1.4	1.4	1.4
8061	1.4	1.4	1.4
8469	1.4	1.4	1.4
8470	1.4	1.4	1.4
8471	1.4	1.4	1.4
9836	2	2	2
9838	2	2	2
9840	2	2	2
9842	2	2	2
9844	2	2	2
191	2	2	2
192	2	2	2
193	2	2	2
194	2	2	2
491	2	2	2
492	2	2	2
493	2	2	2
494	2	2	2
591	2	2	2
531	2	2	2
532	2	2	2
533	2	2	2
534	2	2	2
691	2	2	2
791	2	2	2
1901	2	2	2
2206	2	2	2
1304	1.3	1.3	1.3
2091	1.5	1.5	1.5
3090	2	2	2
3091	2	2	2
3190	2	2	2
3191	2	2	2
3290	2	2	2
3291	2	2	2
3390	1.5	1.5	1.5
3391	1.5	1.5	1.5
3490	2	2	2
3491	2	2	2
3590	2	2	2
3591	2	2	2
3690	1.5	1.5	1.5
3691	1.5	1.5	1.5
3790	2	2	2
3791	1.3	1.3	1.3
3890	2	2	2
3891	2	2	2
6407	1.3	1.3	1.3
33008	2	2	2
33002	2	2	2
6705	2	2	2
6706	2	2	2
6716	2	2	2
6717	2	2	2
6723	2	2	2
6724	2	2	2
6730	2	2	2
6731	2	2	2
