20246	160.00
20247	160.00
2493	500.00
20030	220.00
20101	220.00
20102	220.00
20103	220.00
20104	220.00
20105	220.00
20106	220.00
20107	220.00
20108	220.00
20109	220.00
30000	150.00
30002	220.00
30003	220.00
30004	200.00
30005	200.00
30006	270.00
30007	270.00
30008	270.00
20248	150.00
20249	150.00
20114	150.00
20209	150.00
20210	150.00
20211	150.00
20212	150.00
20205	150.00
20206	150.00
20207	150.00
20208	150.00
20227	150.00
20226	150.00
20231	150.00
20232	150.00
32025	150.00
32000	150.00
32001	150.00
20113	110.00
20112	110.00
20111	110.00
20110	110.00
